BNK_ID,BNK_BHM_DC_CDE,BNK_BHM_DC_NME,BNK_BHM_TLK_CDE,BNK_BHM_TLK_NME,BNK_NME_EN,BNK_BRNCH_CDE,Bnk_Brnch_Nme_Eng
1,2,Bagalkot,16,JAMKHANDI,Bagalkot DCC Bank Ltd.,1,HOSURA PRATHAMIKA KRUSHI PATTINA SAHAKARA SANGHA NI  JAMAKHANDI  
2,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,2,MUDHOLA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
3,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,3,SHIROLA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI 
4,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,4,BELAGALI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
5,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,5,LOKAPURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
6,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,6,MAHALINGAPURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
7,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,7,MADABHAVI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
8,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,8,KESARAGOPPA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
9,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,9,MALALI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
10,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,10,MANTURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
11,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,11,LAKSHANATTI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
12,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,12,SAIDAPURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
13,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,13,ALAGUNDI B K  PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
14,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,14,CHIKKURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
15,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,15,CHINCHAKHANDI K D  PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
16,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,16,GULAGALA JAMBAGI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
17,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,17,DAVALESHVARA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
18,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,18,HALAGALI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
19,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,19,DADANATTI/HOSAKOTI PRATHAMIKA KRUSHI PATTINA SA  SANGHA NI  
20,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,20,YADAHALLI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
21,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,21,METAGUDDA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
22,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,22,MUGALAKHODA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
23,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,23,HEBBALA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  MUDHOLA 
24,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,24,AKKIMARADI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
25,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,25,UTTURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
26,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,26,VAJRAMATTI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
27,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,27,INGALAGI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
28,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,28,BARAGI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  MUDHOLA 
29,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,29,SORAGANVA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
30,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,30,MACHAKANURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
31,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,31,JUNNURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
32,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,32,MELLIGERI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
33,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,33,BUDNI P EM PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
34,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,34,KULALI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI 
35,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,35,CHANNALA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
36,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,36,KASABAJAMBAGI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
37,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,37,JAMBAGI K D  PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
38,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,38,NINGAPURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
39,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,39,KOPPA S R  PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  BEELAGI 
40,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,40,KOPPA S K  PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  BEELAGI  
41,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,41,INANHANCHINALA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
42,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,42,ANAGAVADI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
43,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,43,YADAHALLI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
44,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,44,AMALAJHARI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
45,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,45,CHIKKALAGUNDI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
