BNK_ID,BNK_BHM_DC_CDE,BNK_BHM_DC_NME,BNK_BHM_TLK_CDE,BNK_BHM_TLK_NME,BNK_NME_EN,BNK_BRNCH_CDE,BNK_BRNCH_NME,BNK_IFSC_CDE,BNK_VIFSC_CDE
1,9,DHARWAD,6,Hubballi Nagara,BANK OF BARODA,1,REGIONAL SARB HUBBALLI,BARB0SARHUB,BARB0SARHUB000
2,2,Bagalkote,5,Bagalkote,AXIS BANK LTD,2,Bagalkot,UTIB000052,UTIB000052000
3,2,Bagalkote,5,Bagalkote,AXIS BANK LTD,3,Bagalkot,UTIB0000527,UTIB0000527000
4,2,Bagalkote,8,Ilkal,AXIS BANK LTD,4,Ilkal,UTIB000256,UTIB000256000
5,2,Bagalkote,8,Ilkal,AXIS BANK LTD,5,Ilkal,UTIB0002560,UTIB0002560000
6,2,Bagalkote,1,Jamakhandi,AXIS BANK LTD,6,Jamkhandi,UTIB000041,UTIB000041000
7,2,Bagalkote,1,Jamakhandi,AXIS BANK LTD,7,Jamkhandi,UTIB0000414,UTIB0000414000
8,2,Bagalkote,3,Mudhol,AXIS BANK LTD,8,Mudhol,UTIB000202,UTIB000202000
9,2,Bagalkote,3,Mudhol,AXIS BANK LTD,9,Mudhol,UTIB0002023,UTIB0002023000
10,2,Bagalkote,3,Mudhol,AXIS BANK LTD,10,Saidapur,UTIB000050,UTIB000050000
11,2,BAGALKOTE,3,Mudhol,AXIS BANK LTD,11,Saidapur,UTIB0000505,UTIB0000505000
12,2,BAGALKOTE,5,Bagalkote,BANK OF BARODA,12,BAGALKOT KARNATAKA,BARB0BAGALK,BARB0BAGALK000
13,2,BAGALKOTE,1,Jamakhandi,BANK OF BARODA,13,JAMKHANDIKA,BARB0JAMKHA,BARB0JAMKHA000
14,2,BAGALKOTE,3,Mudhol,BANK OF BARODA,14,MUDHOL KARNATAKA,BARB0MUDHOL,BARB0MUDHOL000
15,2,BAGALKOTE,5,Bagalkote,BANK OF INDIA,15,BAGALKOT,BKID0008465,BKID0008465000
16,2,BAGALKOTE,2,Bilagi,BANK OF INDIA,16,BILAGI,BKID0008971,BKID0008971000
17,2,BAGALKOTE,1,Jamakhandi,BANK OF INDIA,17,JAMAKHANDI,BKID0008972,BKID0008972000
18,2,BAGALKOTE,5,Bagalkote,BANK OF INDIA,18,KHAJJIDONI,BKID0008969,BKID0008969000
19,2,BAGALKOTE,3,Mudhol,BANK OF INDIA,19,MUDHOL,BKID0008466,BKID0008466000
20,2,BAGALKOTE,3,Mudhol,BANK OF INDIA,20,RANJANAGI,BKID0008979,BKID0008979000
21,2,BAGALKOTE,1,Jamakhandi,Bank of Maharashtra,21,JAMKHANDI DIST BAGALKOT,MAHB0001513,MAHB0001513000
22,2,BAGALKOTE,3,Mudhol,Bank of Maharashtra,22,MUDHOL,MAHB0001667,MAHB0001667000
23,2,BAGALKOTE,1,Jamakhandi,Bank of Maharashtra,23,TODALBAGI,MAHB0000758,MAHB0000758000
24,2,BAGALKOTE,5,Bagalkote,CANARABANK,24,BAGALKOT,CNRB0000502,CNRB0000502000
25,2,BAGALKOTE,5,Bagalkote,CANARABANK,25,BAGALKOT BASAVESWARA ENGG COLLEGE,CNRB0008684,CNRB0008684000
26,2,BAGALKOTE,5,Bagalkote,CANARABANK,26,BAGALKOT NAVANAGAR,CNRB0004211,CNRB0004211000
27,2,BAGALKOTE,2,Bilagi,CANARABANK,27,BILAGI,CNRB0004715,CNRB0004715000
28,2,BAGALKOTE,1,Jamakhandi,CANARABANK,28,HUNNUR,CNRB0003163,CNRB0003163000
29,2,BAGALKOTE,2,Bilagi,CANARABANK,29,KAMATGI,CNRB0000536,CNRB0000536000
30,2,BAGALKOTE,3,Mudhol,CANARABANK,30,LOKAPUR,CNRB0000784,CNRB0000784000
31,2,BAGALKOTE,3,Mudhol,CANARABANK,31,MAHALINGAPUR,CNRB0002796,CNRB0002796000
32,2,BAGALKOTE,3,Mudhol,CANARABANK,32,MUDHOL,CNRB0005045,CNRB0005045000
33,2,BAGALKOTE,6,Hungund,CANARABANK,33,MUGANUR,CNRB0005346,CNRB0005346000
38,2,BAGALKOTE,5,Bagalkote,CORPORATION BANK,38,BAGALKOT,CORP0000317,CORP0000317000
39,2,BAGALKOTE,5,Bagalkote,CORPORATION BANK,39,BAGALKOT E.C,CORP0002149,CORP0002149000
40,2,BAGALKOTE,5,Bagalkote,CORPORATION BANK,40,BEVOOR,CORP0000295,CORP0000295000
41,2,BAGALKOTE,2,Bilagi,CORPORATION BANK,41,BILGI,CORP0000393,CORP0000393000
42,2,BAGALKOTE,2,Bilagi,CORPORATION BANK,42,GIRISAGAR,CORP0000296,CORP0000296000
43,2,BAGALKOTE,1,Jamakhandi,CORPORATION BANK,43,HULYAL,CORP0000424,CORP0000424000
44,2,BAGALKOTE,8,Ilkal,CORPORATION BANK,44,ILKAL,CORP0003230,CORP0003230000
45,2,BAGALKOTE,1,Jamakhandi,CORPORATION BANK,45,JAMKHANDI,CORP0000394,CORP0000394000
46,2,BAGALKOTE,5,Bagalkote,CORPORATION BANK,46,LIC OF INDIA NAGANAGAR BAGALKOT,CORP0002097,CORP0002097000
47,2,BAGALKOTE,3,Mudhol,CORPORATION BANK,47,LOKAPUR,CORP0001726,CORP0001726000
48,2,BAGALKOTE,3,Mudhol,CORPORATION BANK,48,MUDHOL,CORP0001019,CORP0001019000
49,2,BAGALKOTE,1,Jamakhandi,CORPORATION BANK,49,MUTTUR,CORP0000415,CORP0000415000
50,2,BAGALKOTE,2,Bilagi,DENA BANK,50,BAGALKOTE,BKDN0611800,BKDN0611800000
51,2,BAGALKOTE,5,Bagalkote,HDFC Bank,51,BAGALKOTE,HDFC0000767,HDFC0000767000
52,2,BAGALKOTE,2,Bilagi,HDFC Bank,52,BILAGI BAGALKOT DISTRICT,HDFC0004698,HDFC0004698000
53,2,BAGALKOTE,1,Jamakhandi,HDFC Bank,53,JAMKHANDI,HDFC0002551,HDFC0002551000
54,2,BAGALKOTE,3,Mudhol,HDFC Bank,54,MUDHOL,HDFC0002226,HDFC0002226000
55,2,BAGALKOTE,6,Hungund,ICICI Bank Ltd.,55,Amingad,ICIC0006509,ICIC0006509000
56,2,BAGALKOTE,5,Bagalkote,ICICI Bank Ltd.,56,Bagalkote,ICIC0000532,ICIC0000532000
57,2,BAGALKOTE,1,Jamakhandi,ICICI Bank Ltd.,57,Chikali Cross,ICIC0003014,ICIC0003014000
58,2,BAGALKOTE,7,GULEDAGUDDA,ICICI Bank Ltd.,58,Guledgudd,ICIC0006519,ICIC0006519000
59,2,BAGALKOTE,8,Ilkal,ICICI Bank Ltd.,59,Ilkal,ICIC0006507,ICIC0006507000
60,2,BAGALKOTE,1,Jamakhandi,ICICI Bank Ltd.,60,Jamakhandi,ICIC0006515,ICIC0006515000
61,2,BAGALKOTE,3,Mudhol,ICICI Bank Ltd.,61,Mahalingpur,ICIC0003645,ICIC0003645000
62,2,BAGALKOTE,3,Mudhol,ICICI Bank Ltd.,62,Mudhol,ICIC0001413,ICIC0001413000
63,2,BAGALKOTE,1,Jamakhandi,ICICI Bank Ltd.,63,Naganur,ICIC0002889,ICIC0002889000
64,2,BAGALKOTE,9,RABAKAVI BANAHATTI,ICICI Bank Ltd.,64,Rabkavi,ICIC0006498,ICIC0006498000
65,2,BAGALKOTE,9,RABAKAVI BANAHATTI,ICICI Bank Ltd.,65,Terdal,ICIC0006500,ICIC0006500000
66,2,BAGALKOTE,5,Bagalkote,IDBI BANK,66,BAGALKOT BRANCH,IBKL0001071,IBKL0001071000
67,2,BAGALKOTE,1,Jamakhandi,IDBI BANK,67,Jamkhandi,IBKL0001797,IBKL0001797000
68,2,BAGALKOTE,3,Mudhol,IDBI BANK,68,MUDDAPPUR,IBKL0001035,IBKL0001035000
69,2,BAGALKOTE,3,Mudhol,IDBI BANK,69,MUDHOL,IBKL0001437,IBKL0001437000
70,2,BAGALKOTE,3,Mudhol,INDIAN BANK,70,HALAGALLI,IDIB000H016,IDIB000H016000
71,2,BAGALKOTE,5,Bagalkote,Indian Overseas Bank,71,BAGALKOT,IOBA0002407,IOBA0002407000
72,2,BAGALKOTE,3,Mudhol,Indian Overseas Bank,72,Mahalingpur,IOBA0003053,IOBA0003053000
73,2,BAGALKOTE,3,Mudhol,Indian Overseas Bank,73,Mudhol,IOBA0002295,IOBA0002295000
84,2,BAGALKOTE,6,Hungund,KARNATAKA VIKAS GRAMEENA BANK,84,AIHOLE,KVGB0001301,KVGB0001301000
85,2,BAGALKOTE,1,Jamakhandi,KARNATAKA VIKAS GRAMEENA BANK,85,ALAGUR,KVGB0001401,KVGB0001401000
86,2,BAGALKOTE,2,Bilagi,KARNATAKA VIKAS GRAMEENA BANK,86,AMALAZARI,KVGB0001201,KVGB0001201000
87,2,BAGALKOTE,6,Hungund,KARNATAKA VIKAS GRAMEENA BANK,87,AMINGAD,KVGB0001311,KVGB0001311000
88,2,BAGALKOTE,2,Bilagi,KARNATAKA VIKAS GRAMEENA BANK,88,ANAGAWADI,KVGB0001202,KVGB0001202000
89,2,BAGALKOTE,4,Badami,KARNATAKA VIKAS GRAMEENA BANK,89,ANWAL,KVGB0001107,KVGB0001107000
90,2,BAGALKOTE,4,Badami,KARNATAKA VIKAS GRAMEENA BANK,90,BADAMI,KVGB0001001,KVGB0001001000
